fecha,valor
2025-01-01,754
2025-01-02,129
2025-01-03,52
2025-01-04,53
2025-01-05,57
2025-01-06,59
2025-01-07,604
2025-01-08,330
2025-01-09,78
2025-01-10,54
2025-01-11,57
2025-01-12,211
2025-01-13,107
2025-01-14,76
2025-01-15,237
2025-01-16,40
2025-01-17,33
2025-01-18,30
2025-01-19,36
2025-01-20,52
2025-01-21,46
2025-01-22,41
2025-01-23,42
2025-01-24,45
2025-01-25,47
2025-01-26,52
2025-01-27,33
2025-01-28,34
2025-01-29,41
2025-01-30,138
2025-01-31,128
2025-02-01,71
2025-02-02,40
2025-02-03,184
2025-02-04,72
2025-02-05,1410
2025-02-06,910
2025-02-07,1737
2025-02-08,565
2025-02-09,118
2025-02-10,239
2025-02-11,107
2025-02-12,50
2025-02-13,39
2025-02-14,52
2025-02-15,846
2025-02-16,488
2025-02-17,584
2025-02-18,631
2025-02-19,334
2025-02-20,852
2025-02-21,1018
2025-02-22,1318
2025-02-23,980
2025-02-24,167
2025-02-25,94
2025-02-26,270
2025-02-27,286
2025-02-28,710
2025-03-01,316
2025-03-02,844
2025-03-03,569
2025-03-04,133
2025-03-05,993
2025-03-06,548
2025-03-07,106
2025-03-08,148
2025-03-09,1061
2025-03-10,1578
2025-03-11,270
2025-03-12,76
2025-03-13,132
2025-03-14,147
2025-03-15,91
2025-03-16,87
2025-03-17,98
2025-03-18,70
2025-03-19,210
2025-03-20,138
2025-03-21,1095
2025-03-22,331
2025-03-23,426
2025-03-24,100
2025-03-25,1124
2025-03-26,453
2025-03-27,344
2025-03-28,213
2025-03-29,53
2025-03-30,50
2025-03-31,79
2025-04-01,38
2025-04-02,42
2025-04-03,40
2025-04-04,48
2025-04-05,36
2025-04-06,45
2025-04-07,33
2025-04-08,1290
2025-04-09,256
2025-04-10,137
2025-04-11,93
2025-04-12,238
2025-04-13,689
2025-04-14,235
2025-04-15,107
2025-04-16,79
2025-04-17,58
2025-04-18,60
2025-04-19,96
2025-04-20,55
2025-04-21,58
2025-04-22,70
2025-04-23,469
2025-04-24,121
2025-04-25,78
2025-04-26,446
2025-04-27,169
2025-04-28,156
2025-04-29,455
2025-04-30,173
2025-05-01,383
2025-05-02,185
2025-05-03,110
2025-05-04,2531
2025-05-05,6256
2025-05-06,3770
2025-05-07,4859
2025-05-08,9437
2025-05-09,9109
2025-05-10,13908
2025-05-11,14480
2025-05-12,8389
2025-05-13,9422
2025-05-14,8524
2025-05-15,10733
2025-05-16,8608
2025-05-17,7343
2025-05-18,9135
2025-05-19,4532
2025-05-20,5334
2025-05-21,7351
2025-05-22,5746
2025-05-23,7052
2025-05-24,5810
2025-05-25,9026
2025-05-26,4635
2025-05-27,5822
2025-05-28,7841
2025-05-29,4597
2025-05-30,2587
2025-05-31,2261
2025-06-01,2950
2025-06-02,7425
2025-06-03,9324
2025-06-04,10904
2025-06-05,9631
2025-06-06,4734
2025-06-07,1855
2025-06-08,3324
2025-06-09,1811
2025-06-10,2768
2025-06-11,5502
2025-06-12,2363
2025-06-13,1988
2025-06-14,1218
2025-06-15,1770
2025-06-16,1223
2025-06-17,391
2025-06-18,344
2025-06-19,1900
2025-06-20,1912
2025-06-21,1008
2025-06-22,429
2025-06-23,548
2025-06-24,820
2025-06-25,344
2025-06-26,2170
2025-06-27,1223
2025-06-28,844
2025-06-29,1637
2025-06-30,1440
2025-07-01,746
2025-07-02,855
2025-07-03,449
2025-07-04,280
2025-07-05,412
2025-07-06,1112
2025-07-07,1392
2025-07-08,5785
2025-07-09,25959
2025-07-10,28086
2025-07-11,19835
2025-07-12,13112
2025-07-13,11236
2025-07-14,10464
2025-07-15,5835
2025-07-16,2316
2025-07-17,1140
2025-07-18,1621
2025-07-19,1552
2025-07-20,1013
2025-07-21,547
2025-07-22,699
2025-07-23,504
2025-07-24,1420
2025-07-25,855
2025-07-26,290
2025-07-27,316
2025-07-28,265
2025-07-29,292
2025-07-30,449
2025-07-31,245
2025-08-01,474
2025-08-02,279
2025-08-03,1897
2025-08-04,499
2025-08-05,229
2025-08-06,160
2025-08-07,1140
2025-08-08,4180
2025-08-09,572
2025-08-10,230
2025-08-11,137
2025-08-12,495
2025-08-13,265
2025-08-14,121
2025-08-15,461
2025-08-16,1721
2025-08-17,154
2025-08-18,75
2025-08-19,65
2025-08-20,1207
2025-08-21,247
2025-08-22,120
2025-08-23,97
2025-08-24,94
2025-08-25,92
2025-08-26,76
2025-08-27,67
2025-08-28,806
2025-08-29,1503
2025-08-30,121
2025-08-31,74
2025-09-01,68
2025-09-02,62
2025-09-03,60
2025-09-04,50
2025-09-05,309
2025-09-06,166
2025-09-07,81
2025-09-08,67
2025-09-09,99
2025-09-10,243
2025-09-11,222
2025-09-12,58
2025-09-13,69
