fecha,valor
2026-01-01,39
2026-01-02,59
2026-01-03,53
2026-01-04,57
2026-01-05,72
2026-01-06,62
2026-01-07,71
2026-01-08,100
2026-01-09,83
2026-01-10,81
2026-01-11,71
2026-01-12,93
2026-01-13,82
2026-01-14,92
2026-01-15,78
2026-01-16,136
2026-01-17,123
2026-01-18,137
2026-01-19,148
2026-01-20,156
2026-01-21,95
2026-01-22,164
2026-01-23,170
2026-01-24,99
2026-01-25,126
2026-01-26,134
2026-01-27,137
2026-01-28,283
2026-01-29,147
2026-01-30,99
2026-01-31,125
2026-02-01,204
2026-02-02,616
2026-02-03,312
2026-02-04,221
2026-02-05,282
2026-02-06,387
2026-02-07,140
2026-02-08,93
2026-02-09,165
2026-02-10,154
2026-02-11,139
2026-02-12,150
2026-02-13,107
2026-02-14,84
2026-02-15,82
2026-02-16,97
2026-02-17,102
2026-02-18,102
2026-02-19,214
2026-02-20,122
2026-02-21,115
2026-02-22,64
2026-02-23,105
2026-02-24,111
2026-02-25,82
2026-02-26,137
2026-02-27,101
2026-02-28,86
2026-03-01,96
2026-03-02,129
2026-03-03,102
2026-03-04,74
2026-03-05,76
2026-03-06,143
2026-03-07,81
2026-03-08,101
2026-03-09,130
2026-03-10,179
2026-03-11,186
2026-03-12,165
2026-03-13,127
2026-03-14,96
2026-03-15,76
2026-03-16,97
2026-03-17,188
2026-03-18,279
2026-03-19,262
2026-03-20,151
2026-03-21,173
2026-03-22,395
2026-03-23,218
2026-03-24,203
2026-03-25,198
2026-03-26,273
2026-03-27,154
2026-03-28,132
2026-03-29,139
2026-03-30,145
2026-03-31,151
2026-04-01,159
2026-04-02,190
2026-04-03,140
2026-04-04,90
2026-04-05,91
2026-04-06,116
2026-04-07,99
2026-04-08,122
2026-04-09,161
2026-04-10,132
2026-04-11,142
2026-04-12,166
2026-04-13,223
2026-04-14,133
2026-04-15,157
2026-04-16,221
2026-04-17,263
2026-04-18,320
2026-04-19,1010
2026-04-20,1930
2026-04-21,3900
2026-04-22,2047
2026-04-23,278
2026-04-24,144
2026-04-25,107
2026-04-26,117
2026-04-27,174
2026-04-28,103
2026-04-29,147
2026-04-30,215
2026-05-01,177
2026-05-02,204
2026-05-03,142
2026-05-04,149
2026-05-05,164
2026-05-06,247
2026-05-07,200
2026-05-08,101
2026-05-09,90
2026-05-10,86
2026-05-11,117
2026-05-12,134
2026-05-13,131
2026-05-14,133
2026-05-15,81
2026-05-16,113
2026-05-17,83
2026-05-18,105
2026-05-19,78
2026-05-20,100
2026-05-21,146
2026-05-22,124
2026-05-23,74
2026-05-24,68
2026-05-25,117
2026-05-26,308
2026-05-27,265
2026-05-28,269
2026-05-29,168
2026-05-30,130
2026-05-31,135
2026-06-01,223
2026-06-02,280
2026-06-03,262
2026-06-04,428
2026-06-05,493
2026-06-06,556
2026-06-07,241
2026-06-08,155
2026-06-09,120
2026-06-10,107
2026-06-11,106
2026-06-12,101
2026-06-13,86
2026-06-14,65
2026-06-15,107
2026-06-16,110
2026-06-17,72
2026-06-18,29
